author,title,language,subject,category,ebookNo,releaseDate,copyrightStatus,downloadNum,price
"
,Palma, Ricardo, 1833-1919",,,,,,,,,
,"
Tradiciones peruanas
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Malory, Thomas, Sir, -1471",,,,,,,,,
"
,Morris, Charles, 1833-1922",,,,,,,,,
,"
Historic Tales: The Romance of Reality. Vol. 14 (of 15), King Arthur (2)
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Malory, Thomas, Sir, -1471",,,,,,,,,
"
,Morris, Charles, 1833-1922",,,,,,,,,
,"
Historic Tales: The Romance of Reality. Vol. 13 (of 15), King Arthur (1)
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"
Sir Gawain and the Lady of Lys
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Todd, David P. (David Peck), 1855-1939",,,,,,,,,
,,,,,,,,,
,"
A New Astronomy
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Higginson, Thomas Wentworth, 1823-1911",,,,,,,,,
,"
Tales of the Enchanted Islands of the Atlantic
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Serviss, Garrett Putman, 1851-1929",,,,,,,,,
,"
Other Worlds,Their Nature, Possibilities and Habitability in the Light of the Latest Discoveries
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
